日期,星期,时段,半小时区间,天气,是否工作日,是否考试周,是否校园活动日,是否周末补课日,是否特殊情况,进店人数,A窗口销量,B窗口销量,C窗口销量,D窗口销量,E窗口销量,平均等待时间_分钟,开启A窗口数,开启B窗口数,开启C窗口数,开启D窗口数,开启E窗口数,备注
2026-02-24,周二,午餐,12:00-12:30,多云,1,0,0,0,0,251,40,93,56,36,26,2.11,2,3,2,1,1,
2026-02-24,周二,午餐,12:30-13:00,多云,1,0,0,0,0,166,26,66,36,24,14,2.75,2,3,2,1,1,
2026-02-24,周二,晚餐,17:00-17:30,多云,1,0,0,0,0,164,30,46,38,19,31,1.76,2,3,2,1,2,
2026-02-24,周二,晚餐,17:30-18:00,多云,1,0,0,0,0,221,41,60,54,27,39,1.79,2,3,2,1,2,
2026-02-24,周二,晚餐,18:00-18:30,多云,1,0,0,0,0,215,41,60,54,24,36,1.74,2,3,2,1,2,
2026-02-24,周二,晚餐,18:30-19:00,多云,1,0,0,0,0,150,27,43,37,18,25,1.54,2,3,2,1,2,
2026-02-25,周三,早餐,06:30-07:00,晴,1,0,0,0,0,91,34,13,3,11,30,1.91,2,1,0,1,2,
2026-02-25,周三,早餐,07:00-07:30,晴,1,0,0,0,0,138,51,20,4,17,46,1.47,2,1,0,1,2,
2026-02-25,周三,早餐,07:30-08:00,晴,1,0,0,0,0,129,48,20,4,16,41,1.58,2,1,0,1,2,
2026-02-25,周三,早餐,08:00-08:30,晴,1,0,0,0,0,81,32,12,2,9,26,1.59,2,1,0,1,2,
2026-02-25,周三,午餐,11:00-11:30,晴,1,0,0,0,0,162,27,64,35,23,13,1.94,2,3,2,1,1,
2026-02-25,周三,午餐,11:30-12:00,晴,1,0,0,0,0,282,43,102,62,40,35,2.7,2,3,2,1,1,
2026-02-25,周三,午餐,12:00-12:30,晴,1,0,0,0,0,257,40,96,53,37,31,2.35,2,3,2,1,1,
2026-02-25,周三,午餐,12:30-13:00,晴,1,0,0,0,0,168,27,62,35,25,19,2.73,2,3,2,1,1,
2026-02-25,周三,晚餐,17:00-17:30,晴,1,0,0,0,0,178,34,49,43,23,29,1.72,2,3,2,1,2,
2026-02-25,周三,晚餐,17:30-18:00,晴,1,0,0,0,0,245,43,74,56,30,42,2.28,2,3,2,1,2,
2026-02-25,周三,晚餐,18:00-18:30,晴,1,0,0,0,0,204,39,60,51,25,29,1.87,2,3,2,1,2,
2026-02-25,周三,晚餐,18:30-19:00,晴,1,0,0,0,0,160,29,46,38,18,29,1.39,2,3,2,1,2,
2026-02-26,周四,早餐,06:30-07:00,阴,1,0,0,0,0,80,30,13,2,10,25,1.2,2,1,0,1,2,
2026-02-26,周四,早餐,07:00-07:30,阴,1,0,0,0,0,116,45,17,3,13,38,1.74,2,1,0,1,2,
2026-02-26,周四,早餐,07:30-08:00,阴,1,0,0,0,0,117,45,17,4,14,37,2.02,2,1,0,1,2,
2026-02-26,周四,早餐,08:00-08:30,阴,1,0,0,0,0,74,27,11,2,9,25,2.04,2,1,0,1,2,
2026-02-26,周四,午餐,11:00-11:30,阴,1,0,0,0,0,167,27,65,39,24,12,1.98,2,3,2,1,1,
2026-02-26,周四,午餐,11:30-12:00,阴,1,0,0,0,0,299,47,112,64,41,35,3.18,2,3,2,1,1,
2026-02-26,周四,午餐,12:00-12:30,阴,1,0,0,0,0,279,43,101,62,40,33,2.76,2,3,2,1,1,
2026-02-26,周四,午餐,12:30-13:00,阴,1,0,0,0,0,181,28,70,38,24,21,2.1,2,3,2,1,1,
2026-02-26,周四,晚餐,17:00-17:30,阴,1,0,0,0,0,159,30,49,39,20,21,1.4,2,3,2,1,2,
2026-02-26,周四,晚餐,17:30-18:00,阴,1,0,0,0,0,230,42,68,58,28,34,1.69,2,3,2,1,2,
2026-02-26,周四,晚餐,18:00-18:30,阴,1,0,0,0,0,207,37,59,47,24,40,1.61,2,3,2,1,2,
2026-02-26,周四,晚餐,18:30-19:00,阴,1,0,0,0,0,154,28,44,38,19,25,2.28,2,3,2,1,2,
2026-02-27,周五,早餐,06:30-07:00,晴,1,0,0,0,0,74,27,11,2,9,25,1.49,2,1,0,1,2,
2026-02-27,周五,早餐,07:00-07:30,晴,1,0,0,0,0,124,48,19,4,14,39,1.14,2,1,0,1,2,
2026-02-27,周五,早餐,07:30-08:00,晴,1,0,0,0,0,126,49,20,4,15,38,1.71,2,1,0,1,2,
2026-02-27,周五,早餐,08:00-08:30,晴,1,0,0,0,0,68,25,11,2,8,22,1.3,2,1,0,1,2,
2026-02-27,周五,午餐,11:00-11:30,晴,1,0,0,0,0,157,24,58,34,23,18,2.75,2,3,2,1,1,
2026-02-27,周五,午餐,11:30-12:00,晴,1,0,0,0,0,279,44,105,62,41,27,2.78,2,3,2,1,1,
2026-02-27,周五,午餐,12:00-12:30,晴,1,0,0,0,0,238,37,90,52,34,25,2.99,2,3,2,1,1,
2026-02-27,周五,午餐,12:30-13:00,晴,1,0,0,0,0,175,27,66,39,25,18,2.14,2,3,2,1,1,
2026-02-27,周五,晚餐,17:00-17:30,晴,1,0,0,0,0,151,29,46,38,17,21,2.21,2,3,2,1,2,
2026-02-27,周五,晚餐,17:30-18:00,晴,1,0,0,0,0,204,38,59,51,25,31,1.89,2,3,2,1,2,
2026-02-27,周五,晚餐,18:00-18:30,晴,1,0,0,0,0,191,35,54,48,22,32,1.26,2,3,2,1,2,
2026-02-27,周五,晚餐,18:30-19:00,晴,1,0,0,0,0,134,24,38,32,16,24,1.23,2,3,2,1,2,
2026-02-28,周六,早餐,06:30-07:00,多云,0,0,0,0,0,58,23,7,2,7,19,1.64,2,0,0,1,1,
2026-02-28,周六,早餐,07:00-07:30,多云,0,0,0,0,0,88,34,11,3,11,29,2.27,2,0,0,1,1,
2026-02-28,周六,早餐,07:30-08:00,多云,0,0,0,0,0,84,33,10,3,10,28,1.36,2,0,0,1,1,
2026-02-28,周六,早餐,08:00-08:30,多云,0,0,0,0,0,52,21,6,2,6,17,2.17,2,0,0,1,1,
2026-02-28,周六,午餐,11:00-11:30,多云,0,0,0,0,0,120,18,45,26,18,13,2.17,2,3,2,1,1,
2026-02-28,周六,午餐,11:30-12:00,多云,0,0,0,0,0,204,34,76,45,27,22,2.47,2,3,2,1,1,
2026-02-28,周六,午餐,12:00-12:30,多云,0,0,0,0,0,185,30,72,43,26,14,2.84,2,3,2,1,1,
2026-02-28,周六,午餐,12:30-13:00,多云,0,0,0,0,0,133,22,48,29,18,16,2.78,2,3,2,1,1,
2026-02-28,周六,晚餐,17:00-17:30,多云,0,0,0,0,0,142,26,40,36,17,23,1.43,2,3,2,1,2,
2026-02-28,周六,晚餐,17:30-18:00,多云,0,0,0,0,0,191,34,56,44,22,35,1.2,2,3,2,1,2,
2026-02-28,周六,晚餐,18:00-18:30,多云,0,0,0,0,0,190,33,53,44,24,36,1.44,2,3,2,1,2,
2026-02-28,周六,晚餐,18:30-19:00,多云,0,0,0,0,0,137,25,41,33,17,21,1.39,2,3,2,1,2,
2026-03-01,周日,早餐,06:30-07:00,晴,0,0,0,0,0,61,25,7,2,7,20,1.6,2,0,0,1,1,
2026-03-01,周日,早餐,07:00-07:30,晴,0,0,0,0,0,85,33,11,2,10,29,1.55,2,0,0,1,1,
2026-03-01,周日,早餐,07:30-08:00,晴,0,0,0,0,0,91,36,11,3,11,30,1.55,2,0,0,1,1,
2026-03-01,周日,早餐,08:00-08:30,晴,0,0,0,0,0,55,21,7,2,7,18,1.55,2,0,0,1,1,
2026-03-01,周日,午餐,11:00-11:30,晴,0,0,0,0,0,121,18,47,25,17,14,2.78,2,3,2,1,1,
2026-03-01,周日,午餐,11:30-12:00,晴,0,0,0,0,0,206,34,82,44,30,16,2.55,2,3,2,1,1,
2026-03-01,周日,午餐,12:00-12:30,晴,0,0,0,0,0,206,34,81,45,30,16,2.34,2,3,2,1,1,
2026-03-01,周日,午餐,12:30-13:00,晴,0,0,0,0,0,138,22,54,29,20,13,2.26,2,3,2,1,1,
2026-03-01,周日,晚餐,17:00-17:30,晴,0,0,0,0,0,155,27,47,39,19,23,1.23,2,3,2,1,2,
2026-03-01,周日,晚餐,17:30-18:00,晴,0,0,0,0,0,207,39,60,50,24,34,1.15,2,3,2,1,2,
2026-03-01,周日,晚餐,18:00-18:30,晴,0,0,0,0,0,191,33,58,48,22,30,1.27,2,3,2,1,2,
2026-03-01,周日,晚餐,18:30-19:00,晴,0,0,0,0,0,136,24,42,32,16,22,1.96,2,3,2,1,2,
2026-03-02,周一,早餐,06:30-07:00,晴,1,0,0,0,0,87,34,13,3,10,27,1.25,2,1,0,1,2,
2026-03-02,周一,早餐,07:00-07:30,晴,1,0,0,0,0,124,50,19,4,15,36,1.75,2,1,0,1,2,
2026-03-02,周一,早餐,07:30-08:00,晴,1,0,0,0,0,135,48,19,4,15,49,1.87,2,1,0,1,2,
2026-03-02,周一,早餐,08:00-08:30,晴,1,0,0,0,0,79,32,12,2,10,23,1.54,2,1,0,1,2,
2026-03-02,周一,午餐,11:00-11:30,晴,1,0,0,0,0,160,26,61,36,22,15,2.01,2,3,2,1,1,
2026-03-02,周一,午餐,11:30-12:00,晴,1,0,0,0,0,292,49,109,67,41,26,2.56,2,3,2,1,1,
2026-03-02,周一,午餐,12:00-12:30,晴,1,0,0,0,0,262,41,94,58,36,33,2.52,2,3,2,1,1,
2026-03-02,周一,午餐,12:30-13:00,晴,1,0,0,0,0,182,31,67,39,26,19,2.99,2,3,2,1,1,
2026-03-02,周一,晚餐,17:00-17:30,晴,1,0,0,0,0,179,33,54,42,22,28,1.94,2,3,2,1,2,
2026-03-02,周一,晚餐,17:30-18:00,晴,1,0,0,0,0,221,38,68,55,25,35,2.24,2,3,2,1,2,
2026-03-02,周一,晚餐,18:00-18:30,晴,1,0,0,0,0,215,40,64,49,25,37,2.16,2,3,2,1,2,
2026-03-02,周一,晚餐,18:30-19:00,晴,1,0,0,0,0,159,30,47,38,20,24,2.3,2,3,2,1,2,
2026-03-03,周二,早餐,06:30-07:00,小雨,1,0,0,0,1,80,30,12,2,9,27,1.64,2,1,0,1,2,小雨
2026-03-03,周二,早餐,07:00-07:30,小雨,1,0,0,0,1,114,42,17,3,14,38,1.63,2,1,0,1,2,小雨
2026-03-03,周二,早餐,07:30-08:00,小雨,1,0,0,0,1,121,45,18,3,14,41,2.23,2,1,0,1,2,小雨
2026-03-03,周二,早餐,08:00-08:30,小雨,1,0,0,0,1,72,29,11,2,9,21,1.7,2,1,0,1,2,小雨
2026-03-03,周二,午餐,11:00-11:30,小雨,1,0,0,0,1,168,23,71,41,23,10,3.19,2,3,2,1,1,小雨
2026-03-03,周二,午餐,11:30-12:00,小雨,1,0,0,0,1,311,41,122,69,45,34,3.27,2,3,2,1,1,小雨
2026-03-03,周二,午餐,12:00-12:30,小雨,1,0,0,0,1,299,40,118,69,39,33,3.29,2,3,2,1,1,小雨
2026-03-03,周二,午餐,12:30-13:00,小雨,1,0,0,0,1,197,28,82,43,29,15,2.77,2,3,2,1,1,小雨
2026-03-03,周二,晚餐,17:00-17:30,小雨,1,0,0,0,1,163,25,48,39,19,32,2.15,2,3,2,1,2,小雨
2026-03-03,周二,晚餐,17:30-18:00,小雨,1,0,0,0,1,243,41,73,57,31,41,2.52,2,3,2,1,2,小雨
2026-03-03,周二,晚餐,18:00-18:30,小雨,1,0,0,0,1,218,33,67,55,26,37,1.76,2,3,2,1,2,小雨
2026-03-03,周二,晚餐,18:30-19:00,小雨,1,0,0,0,1,152,25,47,38,18,24,2.8,2,3,2,1,2,小雨
2026-03-04,周三,早餐,06:30-07:00,多云,1,0,0,0,0,87,32,12,3,10,30,1.43,2,1,0,1,2,
2026-03-04,周三,早餐,07:00-07:30,多云,1,0,0,0,0,121,47,17,4,14,39,2.16,2,1,0,1,2,
2026-03-04,周三,早餐,07:30-08:00,多云,1,0,0,0,0,141,55,21,4,18,43,1.74,2,1,0,1,2,
2026-03-04,周三,早餐,08:00-08:30,多云,1,0,0,0,0,82,30,12,2,10,28,1.86,2,1,0,1,2,
2026-03-04,周三,午餐,11:00-11:30,多云,1,0,0,0,0,176,27,66,38,26,19,2.5,2,3,2,1,1,
2026-03-04,周三,午餐,11:30-12:00,多云,1,0,0,0,0,310,47,118,67,41,37,2.72,2,3,2,1,1,
2026-03-04,周三,午餐,12:00-12:30,多云,1,0,0,0,0,293,45,106,61,41,40,3.13,2,3,2,1,1,
2026-03-04,周三,午餐,12:30-13:00,多云,1,0,0,0,0,171,27,69,39,23,13,2.94,2,3,2,1,1,
2026-03-04,周三,晚餐,17:00-17:30,多云,1,0,0,0,0,180,31,54,45,21,29,2.24,2,3,2,1,2,
2026-03-04,周三,晚餐,17:30-18:00,多云,1,0,0,0,0,238,43,69,58,28,40,1.73,2,3,2,1,2,
2026-03-04,周三,晚餐,18:00-18:30,多云,1,0,0,0,0,225,41,66,56,29,33,1.85,2,3,2,1,2,
2026-03-04,周三,晚餐,18:30-19:00,多云,1,0,0,0,0,157,30,45,39,20,23,1.16,2,3,2,1,2,
2026-03-05,周四,早餐,06:30-07:00,晴,1,0,0,0,0,85,33,12,2,10,28,2.26,2,1,0,1,2,
2026-03-05,周四,早餐,07:00-07:30,晴,1,0,0,0,0,114,41,18,4,14,37,1.76,2,1,0,1,2,
2026-03-05,周四,早餐,07:30-08:00,晴,1,0,0,0,0,131,47,19,4,16,45,1.72,2,1,0,1,2,
2026-03-05,周四,早餐,08:00-08:30,晴,1,0,0,0,0,75,28,11,2,9,25,1.77,2,1,0,1,2,
2026-03-05,周四,午餐,11:00-11:30,晴,1,0,0,0,0,164,25,64,35,24,16,2.95,2,3,2,1,1,
2026-03-05,周四,午餐,11:30-12:00,晴,1,0,0,0,0,288,46,110,62,41,29,,2,3,2,1,1,
2026-03-05,周四,午餐,12:00-12:30,晴,1,0,0,0,0,247,37,91,55,35,29,2.22,2,3,2,1,1,
2026-03-05,周四,午餐,12:30-13:00,晴,1,0,0,0,0,178,28,71,41,26,12,2.28,2,3,2,1,1,
2026-03-05,周四,晚餐,17:00-17:30,晴,1,0,0,0,0,152,27,46,37,18,24,1.41,2,3,2,1,2,
2026-03-05,周四,晚餐,17:30-18:00,晴,1,0,0,0,0,235,40,72,57,27,39,1.18,2,3,2,1,2,
2026-03-05,周四,晚餐,18:00-18:30,晴,1,0,0,0,0,217,39,65,52,27,34,1.72,2,3,2,1,2,
2026-03-05,周四,晚餐,18:30-19:00,晴,1,0,0,0,0,154,27,46,39,19,23,2.1,2,3,2,1,2,
2026-03-06,周五,早餐,06:30-07:00,晴,1,0,1,0,1,79,31,12,2,9,25,1.61,2,1,0,1,2,社团招新日
2026-03-06,周五,早餐,07:00-07:30,晴,1,0,1,0,1,124,46,19,4,15,40,2.18,2,1,0,1,2,社团招新日
2026-03-06,周五,早餐,07:30-08:00,晴,1,0,1,0,1,122,47,17,4,14,40,1.73,2,1,0,1,2,社团招新日
2026-03-06,周五,早餐,08:00-08:30,晴,1,0,1,0,1,70,27,11,2,8,22,1.59,2,1,0,1,2,社团招新日
2026-03-06,周五,午餐,11:00-11:30,晴,1,0,1,0,1,158,26,60,34,21,17,2.4,2,3,2,1,1,社团招新日
2026-03-06,周五,午餐,11:30-12:00,晴,1,0,1,0,1,267,41,106,59,36,25,3.05,2,3,2,1,1,社团招新日
2026-03-06,周五,午餐,12:00-12:30,晴,1,0,1,0,1,253,42,92,56,35,28,3.07,2,3,2,1,1,社团招新日
2026-03-06,周五,午餐,12:30-13:00,晴,1,0,1,0,1,169,28,61,37,23,20,2.6,2,3,2,1,1,社团招新日
2026-03-06,周五,晚餐,17:00-17:30,晴,1,0,1,0,1,187,30,56,47,18,36,2.03,2,3,2,1,2,社团招新日
2026-03-06,周五,晚餐,17:30-18:00,晴,1,0,1,0,1,260,44,83,59,23,51,2.29,2,3,2,1,2,社团招新日
2026-03-06,周五,晚餐,18:00-18:30,晴,1,0,1,0,1,236,40,72,55,22,47,1.14,2,3,2,1,2,社团招新日
2026-03-06,周五,晚餐,18:30-19:00,晴,1,0,1,0,1,159,26,48,36,15,34,2.22,2,3,2,1,2,社团招新日
2026-03-07,周六,早餐,06:30-07:00,多云,0,0,0,0,0,59,22,7,2,7,21,1.17,2,0,0,1,1,
2026-03-07,周六,早餐,07:00-07:30,多云,0,0,0,0,0,79,31,9,2,9,28,2.18,2,0,0,1,1,
2026-03-07,周六,早餐,07:30-08:00,多云,0,0,0,0,0,85,33,10,2,10,30,1.11,2,0,0,1,1,
2026-03-07,周六,早餐,08:00-08:30,多云,0,0,0,0,0,53,20,6,2,6,19,2.05,2,0,0,1,1,
2026-03-07,周六,午餐,11:00-11:30,多云,0,0,0,0,0,112,18,44,25,16,9,2.1,2,3,2,1,1,
2026-03-07,周六,午餐,11:30-12:00,多云,0,0,0,0,0,211,33,83,47,30,18,2.59,2,3,2,1,1,
2026-03-07,周六,午餐,12:00-12:30,多云,0,0,0,0,0,194,33,71,42,27,21,1.94,2,3,2,1,1,
2026-03-07,周六,午餐,12:30-13:00,多云,0,0,0,0,0,129,22,50,29,19,9,2.1,2,3,2,1,1,
2026-03-07,周六,晚餐,17:00-17:30,多云,0,0,0,0,0,151,28,44,36,19,24,1.68,2,3,2,1,2,
2026-03-07,周六,晚餐,17:30-18:00,多云,0,0,0,0,0,219,40,61,51,27,40,1.23,2,3,2,1,2,
2026-03-07,周六,晚餐,18:00-18:30,多云,0,0,0,0,0,194,34,55,49,24,32,1.72,2,3,2,1,2,
2026-03-07,周六,晚餐,18:30-19:00,多云,0,0,0,0,0,135,23,39,33,17,23,2.22,2,3,2,1,2,
2026-03-08,周日,早餐,06:30-07:00,阴,0,0,0,0,0,59,23,7,2,7,20,1.16,2,0,0,1,1,
2026-03-08,周日,早餐,07:00-07:30,阴,0,0,0,0,0,89,33,10,3,11,32,1.93,2,0,0,1,1,
2026-03-08,周日,早餐,07:30-08:00,阴,0,0,0,0,0,94,34,12,3,11,34,1.27,2,0,0,1,1,
2026-03-08,周日,早餐,08:00-08:30,阴,0,0,0,0,0,53,20,6,2,7,18,2.07,2,0,0,1,1,
2026-03-08,周日,午餐,11:00-11:30,阴,0,0,0,0,0,118,19,44,26,16,13,2.76,2,3,2,1,1,
2026-03-08,周日,午餐,11:30-12:00,阴,0,0,0,0,0,219,36,81,47,31,24,2.86,2,3,2,1,1,
2026-03-08,周日,午餐,12:00-12:30,阴,0,0,0,0,0,201,33,77,42,28,21,2.62,2,3,2,1,1,
2026-03-08,周日,午餐,12:30-13:00,阴,0,0,0,0,0,142,23,57,30,19,13,2.45,2,3,2,1,1,
2026-03-08,周日,晚餐,17:00-17:30,阴,0,0,0,0,0,165,30,48,38,20,29,1.21,2,3,2,1,2,
2026-03-08,周日,晚餐,17:30-18:00,阴,0,0,0,0,0,216,40,59,52,26,39,1.11,2,3,2,1,2,
2026-03-08,周日,晚餐,18:00-18:30,阴,0,0,0,0,0,209,39,60,52,26,32,1.98,2,3,2,1,2,
2026-03-08,周日,晚餐,18:30-19:00,阴,0,0,0,0,0,142,26,42,34,18,22,1.52,2,3,2,1,2,
2026-03-09,周一,早餐,06:30-07:00,晴,1,0,0,0,0,83,31,13,2,10,27,1.47,2,1,0,1,2,
2026-03-09,周一,早餐,07:00-07:30,晴,1,0,0,0,0,128,47,20,4,16,41,2.28,2,1,0,1,2,
2026-03-09,周一,早餐,07:30-08:00,晴,1,0,0,0,0,131,47,20,4,15,45,1.46,2,1,0,1,2,
2026-03-09,周一,早餐,08:00-08:30,晴,1,0,0,0,0,78,30,11,2,10,25,2.14,2,1,0,1,2,
2026-03-09,周一,午餐,11:00-11:30,晴,1,0,0,0,0,160,25,60,36,22,17,3.04,2,3,2,1,1,
2026-03-09,周一,午餐,11:30-12:00,晴,1,0,0,0,0,289,45,106,65,41,32,3.09,2,3,2,1,1,
2026-03-09,周一,午餐,12:00-12:30,晴,1,0,0,0,0,276,45,100,60,37,34,2.75,2,3,2,1,1,
2026-03-09,周一,午餐,12:30-13:00,晴,1,0,0,0,0,189,29,71,39,26,24,2.87,2,3,2,1,1,
2026-03-09,周一,晚餐,17:00-17:30,晴,1,0,0,0,0,175,30,49,43,22,31,2.24,2,3,2,1,2,
2026-03-09,周一,晚餐,17:30-18:00,晴,1,0,0,0,0,246,46,70,61,30,39,1.94,2,3,2,1,2,
2026-03-09,周一,晚餐,18:00-18:30,晴,1,0,0,0,0,215,38,62,50,25,40,2.03,2,3,2,1,2,
2026-03-09,周一,晚餐,18:30-19:00,晴,1,0,0,0,0,161,30,46,37,20,28,1.91,2,3,2,1,2,
2026-03-10,周二,早餐,06:30-07:00,晴,1,0,0,0,0,80,31,12,3,10,24,1.95,2,1,0,1,2,
2026-03-10,周二,早餐,07:00-07:30,晴,1,0,0,0,0,130,52,19,4,15,40,2.27,2,1,0,1,2,
2026-03-10,周二,早餐,07:30-08:00,晴,1,0,0,0,0,130,49,18,4,15,44,1.67,2,1,0,1,2,
2026-03-10,周二,早餐,08:00-08:30,晴,1,0,0,0,0,74,29,11,2,9,23,1.72,2,1,0,1,2,
2026-03-10,周二,午餐,11:00-11:30,晴,1,0,0,0,0,160,27,58,37,22,16,2.14,2,3,2,1,1,
2026-03-10,周二,午餐,11:30-12:00,晴,1,0,0,0,0,266,41,106,59,37,23,2.64,2,3,2,1,1,
2026-03-10,周二,午餐,12:00-12:30,晴,1,0,0,0,0,264,43,102,58,37,24,2.13,2,3,2,1,1,
2026-03-10,周二,午餐,12:30-13:00,晴,1,0,0,0,0,172,27,66,39,23,17,2.85,2,3,2,1,1,
2026-03-10,周二,晚餐,17:00-17:30,晴,1,0,0,0,0,162,29,49,39,20,25,2.27,2,3,2,1,2,
2026-03-10,周二,晚餐,17:30-18:00,晴,1,0,0,0,0,228,41,64,57,28,38,1.98,2,3,2,1,2,
2026-03-10,周二,晚餐,18:00-18:30,晴,1,0,0,0,0,223,40,61,53,26,43,2.25,2,3,2,1,2,
2026-03-10,周二,晚餐,18:30-19:00,晴,1,0,0,0,0,143,26,39,34,18,26,1.56,2,3,2,1,2,
2026-03-11,周三,早餐,06:30-07:00,阴,1,0,0,0,0,88,33,13,3,10,29,1.78,2,1,0,1,2,
2026-03-11,周三,早餐,07:00-07:30,阴,1,0,0,0,0,127,48,18,4,14,43,2.14,2,1,0,1,2,
2026-03-11,周三,早餐,07:30-08:00,阴,1,0,0,0,0,131,47,20,4,16,44,2.13,2,1,0,1,2,
2026-03-11,周三,早餐,08:00-08:30,阴,1,0,0,0,0,73,28,10,2,9,24,2.04,2,1,0,1,2,
2026-03-11,周三,午餐,11:00-11:30,阴,1,0,0,0,0,174,28,67,39,25,15,3.05,2,3,2,1,1,
2026-03-11,周三,午餐,11:30-12:00,阴,1,0,0,0,0,312,51,117,68,44,32,3.08,2,3,2,1,1,
2026-03-11,周三,午餐,12:00-12:30,阴,1,0,0,0,0,285,47,108,60,39,31,2.66,2,3,2,1,1,
2026-03-11,周三,午餐,12:30-13:00,阴,1,0,0,0,0,185,30,70,39,27,19,2.85,2,3,2,1,1,
2026-03-11,周三,晚餐,17:00-17:30,阴,1,0,0,0,0,178,33,55,42,21,27,1.49,2,3,2,1,2,
2026-03-11,周三,晚餐,17:30-18:00,阴,1,0,0,0,0,239,45,73,57,29,35,1.96,2,3,2,1,2,
2026-03-11,周三,晚餐,18:00-18:30,阴,1,0,0,0,0,230,43,67,53,26,41,1.3,2,3,2,1,2,
2026-03-11,周三,晚餐,18:30-19:00,阴,1,0,0,0,0,152,29,46,37,18,22,1.26,2,3,2,1,2,
2026-03-12,周四,早餐,06:30-07:00,大雨,1,0,0,0,1,70,25,10,2,9,24,1.91,2,1,0,1,2,大雨
2026-03-12,周四,早餐,07:00-07:30,大雨,1,0,0,0,1,112,44,16,3,14,35,1.47,2,1,0,1,2,大雨
2026-03-12,周四,早餐,07:30-08:00,大雨,1,0,0,0,1,115,43,16,3,14,39,1.78,2,1,0,1,2,大雨
2026-03-12,周四,早餐,08:00-08:30,大雨,1,0,0,0,1,66,26,10,2,8,20,1.76,2,1,0,1,2,大雨
2026-03-12,周四,午餐,11:00-11:30,大雨,1,0,0,0,1,182,24,77,40,27,14,3.18,2,3,2,1,1,大雨
2026-03-12,周四,午餐,11:30-12:00,大雨,1,0,0,0,1,340,46,131,81,48,34,3.81,2,3,2,1,1,大雨
2026-03-12,周四,午餐,12:00-12:30,大雨,1,0,0,0,1,305,40,126,73,45,21,2.95,2,3,2,1,1,大雨
2026-03-12,周四,午餐,12:30-13:00,大雨,1,0,0,0,1,202,27,83,44,27,21,2.6,2,3,2,1,1,大雨
2026-03-12,周四,晚餐,17:00-17:30,大雨,1,0,0,0,1,169,27,54,43,21,24,1.92,2,3,2,1,2,大雨
2026-03-12,周四,晚餐,17:30-18:00,大雨,1,0,0,0,1,262,42,79,68,30,43,2.14,2,3,2,1,2,大雨
2026-03-12,周四,晚餐,18:00-18:30,大雨,1,0,0,0,1,240,36,71,59,29,45,2.89,2,3,2,1,2,大雨
2026-03-12,周四,晚餐,18:30-19:00,大雨,1,0,0,0,1,167,26,53,42,19,27,2.75,2,3,2,1,2,大雨
2026-03-13,周五,早餐,06:30-07:00,晴,1,0,0,0,0,80,30,12,2,10,26,1.52,2,1,0,1,2,
